Título,Descripción,Categoría,Latitud,Longitud,Fecha del hecho
"Se reporta Derrumbe en obra en construcción en zona de Puerto Madryn, Chubut","Grave derrumbe en obra en construcción ocurrió en las inmediaciones de Puerto Madryn, Chubut. El incidente destruyendo viviendas y dejando a familias evacuadas. El intendente local se ha trasladado al lugar para supervisar las operaciones.",Derrumbe en obra en construcción,-42.764195,-65.066607,27/06/2023
Estallido de gasoducto provoca emergencia en San Pedro de Jujuy,"Un grave estallido de gasoducto se registró en San Pedro de Jujuy, Jujuy. El incidente dejando a la población incomunicada por varias horas. El Ministerio de Desarrollo Social está brindando apoyo a los damnificados.",Estallido de gasoducto,-24.198458,-64.861284,02/03/2024
Derrumbe con personas atrapadas causa estragos en Rivadavia,"Un grave derrumbe con personas atrapadas se registró en Rivadavia, San Juan. El incidente afectando el normal desarrollo de actividades en la zona. Se ha convocado al comité de crisis para coordinar las acciones de respuesta.",Derrumbe con personas atrapadas,-31.579892,-68.592103,02/08/2022
Fuego destructivo en zona urbana sorprende a habitantes de Ushuaia,"Grave fuego destructivo en zona urbana ocurrió en las inmediaciones de Ushuaia, Tierra del Fuego. El incidente afectando el normal desarrollo de actividades en la zona. Voluntarios de diversas organizaciones se han sumado a las tareas de auxilio.",Fuego destructivo en zona urbana,-54.835822,-68.295727,19/11/2008
Alerta por Colisión de tren de carga en Olavarría,"Un grave colisión de tren de carga se registró en Olavarría, Buenos Aires. El incidente obligando a evacuar a residentes de la zona. Defensa Civil coordina las tareas de asistencia y reconstrucción.",Colisión de tren de carga,-36.869937,-60.285465,21/10/2008
"Emergencia en zona industrial afecta a General Güemes, Salta","Un grave emergencia en zona industrial se registró en General Güemes, Salta. El incidente destruyendo viviendas y dejando a familias evacuadas. El intendente local se ha trasladado al lugar para supervisar las operaciones.",Emergencia en zona industrial,-24.625647,-65.097464,27/08/2017
Emergencia por Pérdida de gas con evacuación en Humahuaca,"Un grave pérdida de gas con evacuación se registró en Humahuaca, Jujuy. El incidente bloqueando las principales vías de acceso. Autoridades nacionales se han puesto a disposición para brindar asistencia.",Pérdida de gas con evacuación,-23.210502,-65.393876,06/02/2021
Situación crítica por Accidente en paso a nivel en Tandil,"Un grave accidente en paso a nivel se registró en Tandil, Buenos Aires. El incidente dejando varios heridos y daños materiales. Se ha declarado estado de emergencia en la región para facilitar la asistencia.",Accidente en paso a nivel,-37.344855,-59.104462,25/07/2016
"Colapso por fallas estructurales provoca emergencia en Mar del Plata, Buenos Aires","Grave colapso por fallas estructurales ocurrió en las inmediaciones de Mar del Plata, Buenos Aires. El incidente dejando varios heridos y daños materiales. Especialistas evalúan los daños para iniciar las reparaciones necesarias.",Colapso por fallas estructurales,-37.985963,-57.503277,14/02/2023
Equipos de emergencia atienden Derrumbe con personas atrapadas en Villa Krause,"Grave derrumbe con personas atrapadas ocurrió en las inmediaciones de Villa Krause, San Juan. El incidente provocando cortes de energía y problemas en el suministro de agua. Voluntarios de diversas organizaciones se han sumado a las tareas de auxilio.",Derrumbe con personas atrapadas,-31.607898,-68.557376,21/12/2024
Atropello masivo genera crisis en Ushuaia,"Grave atropello masivo ocurrió en las inmediaciones de Ushuaia, Tierra del Fuego. El incidente dejando a varios sectores sin comunicación. Bomberos y personal de seguridad trabajan intensamente en la zona.",Atropello masivo,-54.798944,-68.315813,29/09/2008
Evacuaciones por Colisión grave en ruta en Cruz del Eje,"Autoridades confirmaron un colisión grave en ruta en Cruz del Eje, Córdoba. El incidente afectando el normal desarrollo de actividades en la zona. Se ha declarado estado de emergencia en la región para facilitar la asistencia.",Colisión grave en ruta,-30.76399,-64.852803,26/08/2017
"Puerto Madryn afectado por Incendio en fábrica, Chubut","Grave incendio en fábrica ocurrió en las inmediaciones de Puerto Madryn, Chubut. El incidente obligando a evacuar a residentes de la zona. Se ha iniciado una investigación para determinar las causas exactas del incidente.",Incendio en fábrica,-42.768562,-65.069433,08/05/2002
Se reporta Caída de construcción en zona de Tigre,"Autoridades confirmaron un caída de construcción en Tigre, Buenos Aires. El incidente resultando en el cierre temporal de escuelas y comercios. El Ministerio de Desarrollo Social está brindando apoyo a los damnificados.",Caída de construcción,-34.378857,-58.605384,25/06/2022
Descarrilamiento con derrame provoca emergencia en San Carlos de Bariloche,"Autoridades confirmaron un descarrilamiento con derrame en San Carlos de Bariloche, Río Negro. El incidente interrumpiendo servicios básicos en toda la zona. Técnicos trabajan para restablecer los servicios básicos lo antes posible.",Descarrilamiento con derrame,-41.159959,-71.332451,11/08/2006
Serio incidente: Accidente vehicular en Goya,"Un grave accidente vehicular se registró en Goya, Corrientes. El incidente provocando pánico entre los residentes locales. El gobierno provincial ha enviado ayuda humanitaria a los damnificados.",Accidente vehicular,-29.097517,-59.271475,05/10/2015
Equipos de emergencia atienden Fuga en gasoducto en Viedma,"Autoridades confirmaron un fuga en gasoducto en Viedma, Río Negro. El incidente dejando varios heridos y daños materiales. Técnicos trabajan para restablecer los servicios básicos lo antes posible.",Fuga en gasoducto,-40.860834,-63.020799,17/11/2006
Fallo en vuelo afecta a Tandil,"Autoridades confirmaron un fallo en vuelo en Tandil, Buenos Aires. El incidente obligando a evacuar a residentes de la zona. Se ha declarado estado de emergencia en la región para facilitar la asistencia.",Fallo en vuelo,-37.29238,-59.163133,06/02/2018
Situación crítica por Derrumbe de edificio en Chamical,"Autoridades confirmaron un derrumbe de edificio en Chamical, La Rioja. El incidente dejando a la población incomunicada por varias horas. Defensa Civil coordina las tareas de asistencia y reconstrucción.",Derrumbe de edificio,-30.313958,-66.348367,03/11/2024
Colisión de tren de carga deja múltiples daños en Pico Truncado,"Grave colisión de tren de carga ocurrió en las inmediaciones de Pico Truncado, Santa Cruz. El incidente dejando a varios sectores sin comunicación. Se ha establecido un centro de operaciones para coordinar las ayudas.",Colisión de tren de carga,-46.807244,-67.997638,19/12/2004
"Viedma sufre las consecuencias de Colapso por fallas estructurales, Río Negro","Un grave colapso por fallas estructurales se registró en Viedma, Río Negro. El incidente dejando varios heridos y daños materiales. El intendente local se ha trasladado al lugar para supervisar las operaciones.",Colapso por fallas estructurales,-40.851235,-63.031209,29/03/2007
Impacto de Explosión de tanque de gas en comunidad de Pico Truncado,"Autoridades confirmaron un explosión de tanque de gas en Pico Truncado, Santa Cruz. El incidente afectando gravemente la infraestructura local. Voluntarios de diversas organizaciones se han sumado a las tareas de auxilio.",Explosión de tanque de gas,-46.813042,-67.955154,29/08/2012
Fernández afectado por Colapso por fallas estructurales,"Un grave colapso por fallas estructurales se registró en Fernández, Santiago del Estero. El incidente resultando en el cierre temporal de escuelas y comercios. El gobierno provincial ha enviado ayuda humanitaria a los damnificados.",Colapso por fallas estructurales,-27.874657,-63.931592,27/04/2005
Autoridades responden a Explosión seguida de incendio en Punta Alta,"Autoridades confirmaron un explosión seguida de incendio en Punta Alta, Buenos Aires. El incidente generando caos en el transporte público y privado. Especialistas evalúan los daños para iniciar las reparaciones necesarias.",Explosión seguida de incendio,-38.875401,-62.053694,15/05/2003
Rosario afectado por Descarrilamiento de vagones,"Grave descarrilamiento de vagones ocurrió en las inmediaciones de Rosario, Santa Fe. El incidente interrumpiendo servicios básicos en toda la zona. Bomberos y personal de seguridad trabajan intensamente en la zona.",Descarrilamiento de vagones,-32.984912,-60.613928,02/01/2022
"Se reporta Incidente aéreo en zona de Centenario, Neuquén","Un grave incidente aéreo se registró en Centenario, Neuquén. El incidente dejando varios heridos y daños materiales. Los servicios médicos están atendiendo a los afectados en hospitales locales.",Incidente aéreo,-38.866133,-68.113426,26/11/2015
Situación crítica por Accidente en paso a nivel en 25 de Mayo,"Un grave accidente en paso a nivel se registró en 25 de Mayo, Buenos Aires. El incidente obligando a evacuar a residentes de la zona. Autoridades nacionales se han puesto a disposición para brindar asistencia.",Accidente en paso a nivel,-35.430272,-60.154407,13/07/2021
"Equipos de emergencia atienden Derrumbe con personas atrapadas en Godoy Cruz, Mendoza","Un grave derrumbe con personas atrapadas se registró en Godoy Cruz, Mendoza. El incidente dejando a la población incomunicada por varias horas. Defensa Civil coordina las tareas de asistencia y reconstrucción.",Derrumbe con personas atrapadas,-32.963909,-68.90075,27/07/2008
"Atropello masivo afecta a Famaillá, Tucumán","Autoridades confirmaron un atropello masivo en Famaillá, Tucumán. El incidente resultando en el cierre temporal de escuelas y comercios. Se ha iniciado una investigación para determinar las causas exactas del incidente.",Atropello masivo,-27.083065,-65.416089,23/03/2014
Ushuaia afectado por Atropello masivo,"Autoridades confirmaron un atropello masivo en Ushuaia, Tierra del Fuego. El incidente provocando la activación de protocolos de emergencia. Se han habilitado refugios temporales para las familias afectadas.",Atropello masivo,-54.807201,-68.338585,25/09/2005
"Apagón por tormenta provoca emergencia en Rafaela, Santa Fe","Un grave apagón por tormenta se registró en Rafaela, Santa Fe. El incidente causando pérdidas millonarias y afectando a cientos de personas. Bomberos y personal de seguridad trabajan intensamente en la zona.",Apagón por tormenta,-31.297551,-61.47278,18/02/2008
Apóstoles en alerta por Fuego destructivo en zona urbana,"Autoridades confirmaron un fuego destructivo en zona urbana en Apóstoles, Misiones. El incidente provocando la activación de protocolos de emergencia. Los servicios médicos están atendiendo a los afectados en hospitales locales.",Fuego destructivo en zona urbana,-27.905356,-55.737731,04/11/2020
Preocupación por Fuego en centro comercial en Las Breñas,"Un grave fuego en centro comercial se registró en Las Breñas, Chaco. El incidente generando caos en el transporte público y privado. Especialistas evalúan los daños para iniciar las reparaciones necesarias.",Fuego en centro comercial,-27.062233,-61.113384,04/12/2018
"Autoridades responden a Incendio en fábrica en Toay, La Pampa","Autoridades confirmaron un incendio en fábrica en Toay, La Pampa. El incidente provocando pánico entre los residentes locales. Equipos de rescate continúan buscando posibles víctimas.",Incendio en fábrica,-36.674704,-64.37468,16/11/2005
"Villa Mercedes en alerta por Caída de aeronave, San Luis","Grave caída de aeronave ocurrió en las inmediaciones de Villa Mercedes, San Luis. El incidente afectando gravemente la infraestructura local. Los servicios médicos están atendiendo a los afectados en hospitales locales.",Caída de aeronave,-33.695175,-65.434186,14/04/2011
Alerta por Colapso de estructura en Santa Rosa,"Grave colapso de estructura ocurrió en las inmediaciones de Santa Rosa, La Pampa. El incidente provocando pánico entre los residentes locales. La población ha sido alertada para tomar precauciones adicionales.",Colapso de estructura,-36.633076,-64.238121,04/12/2019
"Añatuya sufre las consecuencias de Fuga masiva de gas natural, Santiago del Estero","Autoridades confirmaron un fuga masiva de gas natural en Añatuya, Santiago del Estero. El incidente provocando pánico entre los residentes locales. Se han habilitado refugios temporales para las familias afectadas.",Fuga masiva de gas natural,-28.475664,-62.806527,21/02/2005
Habitantes de Gualeguay afrontan Estallido con víctimas,"Un grave estallido con víctimas se registró en Gualeguay, Entre Ríos. El incidente dejando a la población incomunicada por varias horas. Especialistas evalúan los daños para iniciar las reparaciones necesarias.",Estallido con víctimas,-33.180807,-59.329971,21/01/2018
Emergencia por Caída de aeronave en La Paz,"Autoridades confirmaron un caída de aeronave en La Paz, Entre Ríos. El incidente dejando a la población incomunicada por varias horas. Técnicos trabajan para restablecer los servicios básicos lo antes posible.",Caída de aeronave,-30.712814,-59.690306,17/05/2002
Preocupación por Descarrilamiento de tren en Andalgalá,"Autoridades confirmaron un descarrilamiento de tren en Andalgalá, Catamarca. El incidente con un saldo inicial de varias personas heridas. Técnicos trabajan para restablecer los servicios básicos lo antes posible.",Descarrilamiento de tren,-27.595289,-66.295017,18/03/2004
Autoridades responden a Fallo en planta procesadora en Malargüe,"Grave fallo en planta procesadora ocurrió en las inmediaciones de Malargüe, Mendoza. El incidente bloqueando las principales vías de acceso. El Ministerio de Desarrollo Social está brindando apoyo a los damnificados.",Fallo en planta procesadora,-35.484473,-69.621343,09/08/2011
Emanación de gas tóxico impacta en Marcos Juárez,"Un grave emanación de gas tóxico se registró en Marcos Juárez, Córdoba. El incidente generando caos en el transporte público y privado. Se ha declarado estado de emergencia en la región para facilitar la asistencia.",Emanación de gas tóxico,-32.740071,-62.115035,14/09/2010
Explosión de origen desconocido provoca emergencia en Realicó,"Autoridades confirmaron un explosión de origen desconocido en Realicó, La Pampa. El incidente generando preocupación entre autoridades provinciales. Se ha declarado estado de emergencia en la región para facilitar la asistencia.",Explosión de origen desconocido,-35.04544,-64.283295,12/04/2010
"Balcarce afectado por Incidente aéreo, Buenos Aires","Autoridades confirmaron un incidente aéreo en Balcarce, Buenos Aires. El incidente con un saldo inicial de varias personas heridas. La población ha sido alertada para tomar precauciones adicionales.",Incidente aéreo,-37.85855,-58.262448,03/01/2013
Estallido con víctimas deja múltiples daños en Goya,"Un grave estallido con víctimas se registró en Goya, Corrientes. El incidente destruyendo viviendas y dejando a familias evacuadas. La población ha sido alertada para tomar precauciones adicionales.",Estallido con víctimas,-29.153927,-59.232479,13/02/2019
"Situación crítica por Choque de formaciones ferroviarias en Trelew, Chubut","Autoridades confirmaron un choque de formaciones ferroviarias en Trelew, Chubut. El incidente destruyendo viviendas y dejando a familias evacuadas. Bomberos y personal de seguridad trabajan intensamente en la zona.",Choque de formaciones ferroviarias,-43.224495,-65.319027,14/02/2005
"Serio incidente: Fallo en sistema eléctrico en Pico Truncado, Santa Cruz","Grave fallo en sistema eléctrico ocurrió en las inmediaciones de Pico Truncado, Santa Cruz. El incidente provocando cortes de energía y problemas en el suministro de agua. Se ha convocado al comité de crisis para coordinar las acciones de respuesta.",Fallo en sistema eléctrico,-46.799707,-67.954563,08/06/2020
"Habitantes de Charata afrontan Choque en cadena, Chaco","Autoridades confirmaron un choque en cadena en Charata, Chaco. El incidente interrumpiendo servicios básicos en toda la zona. El intendente local se ha trasladado al lugar para supervisar las operaciones.",Choque en cadena,-27.190796,-61.220927,12/08/2020
Se reporta Incendio en fábrica en zona de Humahuaca,"Un grave incendio en fábrica se registró en Humahuaca, Jujuy. El incidente generando caos en el transporte público y privado. Las fuerzas de seguridad mantienen un perímetro para evitar incidentes adicionales.",Incendio en fábrica,-23.156706,-65.343342,04/02/2017
Alerta por Incendio en depósito en Esperanza,"Autoridades confirmaron un incendio en depósito en Esperanza, Santa Fe. El incidente afectando gravemente la infraestructura local. Las autoridades locales han desplegado equipos de emergencia para atender a los afectados.",Incendio en depósito,-31.488702,-60.899495,29/04/2012
"Accidente de helicóptero genera crisis en La Plata, Buenos Aires","Grave accidente de helicóptero ocurrió en las inmediaciones de La Plata, Buenos Aires. El incidente resultando en el cierre temporal de escuelas y comercios. El municipio ha activado el protocolo de emergencias para esta situación.",Accidente de helicóptero,-34.962445,-57.953779,24/02/2016
"Situación crítica por Explosión de tanque de gas en La Falda, Córdoba","Autoridades confirmaron un explosión de tanque de gas en La Falda, Córdoba. El incidente provocando cortes de energía y problemas en el suministro de agua. Autoridades nacionales se han puesto a disposición para brindar asistencia.",Explosión de tanque de gas,-31.060327,-64.521078,03/10/2000
Autoridades responden a Accidente ferroviario con pasajeros en Casilda,"Grave accidente ferroviario con pasajeros ocurrió en las inmediaciones de Casilda, Santa Fe. El incidente afectando el normal desarrollo de actividades en la zona. La población ha sido alertada para tomar precauciones adicionales.",Accidente ferroviario con pasajeros,-33.026964,-61.193339,30/07/2010
Se reporta Accidente de tránsito múltiple en zona de Tandil,"Autoridades confirmaron un accidente de tránsito múltiple en Tandil, Buenos Aires. El incidente provocando la activación de protocolos de emergencia. Defensa Civil coordina las tareas de asistencia y reconstrucción.",Accidente de tránsito múltiple,-37.317946,-59.156561,22/10/2004
Equipos de emergencia atienden Choque de formaciones ferroviarias en San Lorenzo,"Autoridades confirmaron un choque de formaciones ferroviarias en San Lorenzo, Santa Fe. El incidente resultando en el cierre temporal de escuelas y comercios. Se ha establecido un centro de operaciones para coordinar las ayudas.",Choque de formaciones ferroviarias,-32.71774,-60.756485,06/03/2001
Autoridades responden a Gas con riesgo de explosión en Bahía Blanca,"Un grave gas con riesgo de explosión se registró en Bahía Blanca, Buenos Aires. El incidente dejando a la población incomunicada por varias horas. Técnicos trabajan para restablecer los servicios básicos lo antes posible.",Gas con riesgo de explosión,-38.713309,-62.305406,16/04/2009
Confirman Choque de formaciones ferroviarias de gran magnitud en Gualeguay,"Grave choque de formaciones ferroviarias ocurrió en las inmediaciones de Gualeguay, Entre Ríos. El incidente provocando cortes de energía y problemas en el suministro de agua. El municipio ha activado el protocolo de emergencias para esta situación.",Choque de formaciones ferroviarias,-33.125074,-59.318343,16/09/2019
"Situación crítica por Incidente en fábrica en Pergamino, Buenos Aires","Un grave incidente en fábrica se registró en Pergamino, Buenos Aires. El incidente interrumpiendo servicios básicos en toda la zona. Técnicos trabajan para restablecer los servicios básicos lo antes posible.",Incidente en fábrica,-33.921265,-60.596412,02/11/2005
Fuego en local comercial provoca emergencia en San Rafael,"Grave fuego en local comercial ocurrió en las inmediaciones de San Rafael, Mendoza. El incidente dejando varios heridos y daños materiales. Autoridades nacionales se han puesto a disposición para brindar asistencia.",Fuego en local comercial,-34.613021,-68.313603,26/07/2021
Equipos de emergencia atienden Accidente en planta industrial en Victorica,"Grave accidente en planta industrial ocurrió en las inmediaciones de Victorica, La Pampa. El incidente generando preocupación entre autoridades provinciales. El intendente local se ha trasladado al lugar para supervisar las operaciones.",Accidente en planta industrial,-36.19715,-65.469713,05/02/2013
"Autoridades responden a Incendio en fábrica en Perico, Jujuy","Autoridades confirmaron un incendio en fábrica en Perico, Jujuy. El incidente interrumpiendo servicios básicos en toda la zona. Bomberos y personal de seguridad trabajan intensamente en la zona.",Incendio en fábrica,-24.427965,-65.07817,24/11/2000
"Equipos de emergencia atienden Estallido de gasoducto en Posadas, Misiones","Grave estallido de gasoducto ocurrió en las inmediaciones de Posadas, Misiones. El incidente destruyendo viviendas y dejando a familias evacuadas. Defensa Civil coordina las tareas de asistencia y reconstrucción.",Estallido de gasoducto,-27.368657,-55.909164,21/02/2001
"Concepción del Uruguay afectado por Explosión seguida de incendio, Entre Ríos","Grave explosión seguida de incendio ocurrió en las inmediaciones de Concepción del Uruguay, Entre Ríos. El incidente provocando cortes de energía y problemas en el suministro de agua. La población ha sido alertada para tomar precauciones adicionales.",Explosión seguida de incendio,-32.472111,-58.216789,10/08/2017
Serio incidente: Colisión de tren de carga en San Martín de los Andes,"Un grave colisión de tren de carga se registró en San Martín de los Andes, Neuquén. El incidente provocando la activación de protocolos de emergencia. Autoridades nacionales se han puesto a disposición para brindar asistencia.",Colisión de tren de carga,-40.114231,-71.324656,02/03/2003
"Colisión de tren de carga causa estragos en Mar del Plata, Buenos Aires","Autoridades confirmaron un colisión de tren de carga en Mar del Plata, Buenos Aires. El incidente obligando a evacuar a residentes de la zona. Voluntarios de diversas organizaciones se han sumado a las tareas de auxilio.",Colisión de tren de carga,-37.991637,-57.521582,15/08/2011
Incendio en depósito genera crisis en San Miguel de Tucumán,"Grave incendio en depósito ocurrió en las inmediaciones de San Miguel de Tucumán, Tucumán. El incidente generando preocupación entre autoridades provinciales. El Ministerio de Desarrollo Social está brindando apoyo a los damnificados.",Incendio en depósito,-26.826667,-65.242383,04/09/2018
Colapso por fallas estructurales impacta en Charata,"Autoridades confirmaron un colapso por fallas estructurales en Charata, Chaco. El incidente generando caos en el transporte público y privado. El gobierno provincial ha enviado ayuda humanitaria a los damnificados.",Colapso por fallas estructurales,-27.208297,-61.169542,14/05/2003
Preocupación por Aterrizaje de emergencia en Chilecito,"Grave aterrizaje de emergencia ocurrió en las inmediaciones de Chilecito, La Rioja. El incidente destruyendo viviendas y dejando a familias evacuadas. El municipio ha activado el protocolo de emergencias para esta situación.",Aterrizaje de emergencia,-29.116278,-67.531336,05/04/2010
"Habitantes de Concordia afrontan Incendio en viviendas, Entre Ríos","Autoridades confirmaron un incendio en viviendas en Concordia, Entre Ríos. El incidente dejando varios heridos y daños materiales. Se han habilitado refugios temporales para las familias afectadas.",Incendio en viviendas,-31.414401,-57.984657,07/12/2003
Evacuaciones por Explosión de origen desconocido en Aimogasta,"Grave explosión de origen desconocido ocurrió en las inmediaciones de Aimogasta, La Rioja. El incidente generando caos en el transporte público y privado. El municipio ha activado el protocolo de emergencias para esta situación.",Explosión de origen desconocido,-28.522535,-66.804724,14/07/2015
Confirman Fallo en planta procesadora de gran magnitud en Monteros,"Grave fallo en planta procesadora ocurrió en las inmediaciones de Monteros, Tucumán. El incidente destruyendo viviendas y dejando a familias evacuadas. Los servicios médicos están atendiendo a los afectados en hospitales locales.",Fallo en planta procesadora,-27.180392,-65.491661,05/08/2002
"Habitantes de Quitilipi afrontan Colapso por fallas estructurales, Chaco","Autoridades confirmaron un colapso por fallas estructurales en Quitilipi, Chaco. El incidente destruyendo viviendas y dejando a familias evacuadas. Técnicos trabajan para restablecer los servicios básicos lo antes posible.",Colapso por fallas estructurales,-26.899455,-60.175981,10/08/2009
"Serio incidente: Explosión en zona residencial en Tinogasta, Catamarca","Un grave explosión en zona residencial se registró en Tinogasta, Catamarca. El incidente afectando el normal desarrollo de actividades en la zona. Se ha convocado al comité de crisis para coordinar las acciones de respuesta.",Explosión en zona residencial,-28.110843,-67.51724,18/03/2014
Fuga en planta industrial provoca emergencia en Quilmes,"Un grave fuga en planta industrial se registró en Quilmes, Buenos Aires. El incidente generando preocupación entre autoridades provinciales. Autoridades nacionales se han puesto a disposición para brindar asistencia.",Fuga en planta industrial,-34.747854,-58.224867,11/07/2016
Evacuaciones por Derrumbe con personas atrapadas en Belén,"Autoridades confirmaron un derrumbe con personas atrapadas en Belén, Catamarca. El incidente con un saldo inicial de varias personas heridas. Bomberos y personal de seguridad trabajan intensamente en la zona.",Derrumbe con personas atrapadas,-27.615154,-66.983693,11/09/2008
"Colisión grave en ruta provoca emergencia en Necochea, Buenos Aires","Un grave colisión grave en ruta se registró en Necochea, Buenos Aires. El incidente interrumpiendo servicios básicos en toda la zona. Especialistas evalúan los daños para iniciar las reparaciones necesarias.",Colisión grave en ruta,-38.508341,-58.711887,31/07/2014
"Habitantes de Ushuaia afrontan Apagón general, Tierra del Fuego","Autoridades confirmaron un apagón general en Ushuaia, Tierra del Fuego. El incidente generando serios daños ambientales en la región. Técnicos trabajan para restablecer los servicios básicos lo antes posible.",Apagón general,-54.844506,-68.312516,19/09/2002
Accidente ferroviario con pasajeros sorprende a habitantes de Río Grande,"Un grave accidente ferroviario con pasajeros se registró en Río Grande, Tierra del Fuego. El incidente obligando a evacuar a residentes de la zona. Bomberos y personal de seguridad trabajan intensamente en la zona.",Accidente ferroviario con pasajeros,-53.797241,-67.656906,18/03/2002
"Gas con riesgo de explosión causa estragos en Villa Mercedes, San Luis","Grave gas con riesgo de explosión ocurrió en las inmediaciones de Villa Mercedes, San Luis. El incidente con un saldo inicial de varias personas heridas. Voluntarios de diversas organizaciones se han sumado a las tareas de auxilio.",Gas con riesgo de explosión,-33.732426,-65.446172,12/05/2001
"Chamical sufre las consecuencias de Fuga en gasoducto, La Rioja","Autoridades confirmaron un fuga en gasoducto en Chamical, La Rioja. El incidente dejando a la población incomunicada por varias horas. Se ha declarado estado de emergencia en la región para facilitar la asistencia.",Fuga en gasoducto,-30.337916,-66.308229,18/03/2024
"Accidente de tránsito múltiple provoca emergencia en Palermo, CABA","Grave accidente de tránsito múltiple ocurrió en las inmediaciones de Palermo, CABA. El incidente generando preocupación entre autoridades provinciales. Se ha iniciado una investigación para determinar las causas exactas del incidente.",Accidente de tránsito múltiple,-34.558327,-58.390449,15/09/2002
Chascomús sufre las consecuencias de Detonación en fábrica,"Un grave detonación en fábrica se registró en Chascomús, Buenos Aires. El incidente provocando cortes de energía y problemas en el suministro de agua. Las fuerzas de seguridad mantienen un perímetro para evitar incidentes adicionales.",Detonación en fábrica,-35.59354,-58.008245,16/05/2017
Confirman Descarrilamiento con derrame de gran magnitud en Libertador General San Martín,"Autoridades confirmaron un descarrilamiento con derrame en Libertador General San Martín, Jujuy. El incidente interrumpiendo servicios básicos en toda la zona. El Ministerio de Desarrollo Social está brindando apoyo a los damnificados.",Descarrilamiento con derrame,-23.793959,-64.803482,02/08/2020
Emergencia en aeropuerto provoca emergencia en San Lorenzo,"Un grave emergencia en aeropuerto se registró en San Lorenzo, Santa Fe. El incidente causando daños en cultivos y producción agrícola. Técnicos trabajan para restablecer los servicios básicos lo antes posible.",Emergencia en aeropuerto,-32.783754,-60.788804,22/10/2003
Fuego en local comercial deja múltiples daños en Goya,"Grave fuego en local comercial ocurrió en las inmediaciones de Goya, Corrientes. El incidente con un saldo inicial de varias personas heridas. Autoridades nacionales se han puesto a disposición para brindar asistencia.",Fuego en local comercial,-29.114825,-59.253193,09/02/2012
"Corte masivo de electricidad causa estragos en San Rafael, Mendoza","Un grave corte masivo de electricidad se registró en San Rafael, Mendoza. El incidente interrumpiendo servicios básicos en toda la zona. El Ministerio de Desarrollo Social está brindando apoyo a los damnificados.",Corte masivo de electricidad,-34.65846,-68.378721,29/06/2003
Preocupación por Accidente de helicóptero en San Francisco,"Un grave accidente de helicóptero se registró en San Francisco, Córdoba. El incidente afectando el normal desarrollo de actividades en la zona. Se ha convocado al comité de crisis para coordinar las acciones de respuesta.",Accidente de helicóptero,-31.445007,-62.04652,18/07/2019
Evacuaciones por Atropello masivo en Cutral Có,"Un grave atropello masivo se registró en Cutral Có, Neuquén. El incidente obligando a evacuar a residentes de la zona. Las autoridades locales han desplegado equipos de emergencia para atender a los afectados.",Atropello masivo,-38.943368,-69.249043,25/02/2020
Consecuencias graves tras Emergencia en zona industrial en El Bolsón,"Grave emergencia en zona industrial ocurrió en las inmediaciones de El Bolsón, Río Negro. El incidente bloqueando las principales vías de acceso. El gobierno provincial ha enviado ayuda humanitaria a los damnificados.",Emergencia en zona industrial,-41.943355,-71.56463,22/08/2013
Consecuencias graves tras Fuego en local comercial en Buenos Aires,"Un grave fuego en local comercial se registró en Buenos Aires, CABA. El incidente interrumpiendo servicios básicos en toda la zona. Se ha declarado estado de emergencia en la región para facilitar la asistencia.",Fuego en local comercial,-34.585221,-58.398464,02/02/2015
"Alerta por Colisión de tren de carga en Humahuaca, Jujuy","Grave colisión de tren de carga ocurrió en las inmediaciones de Humahuaca, Jujuy. El incidente causando daños en cultivos y producción agrícola. El Ministerio de Desarrollo Social está brindando apoyo a los damnificados.",Colisión de tren de carga,-23.237962,-65.304808,06/09/2008
Autoridades responden a Incendio en fábrica en Villa La Angostura,"Un grave incendio en fábrica se registró en Villa La Angostura, Neuquén. El incidente dejando varios heridos y daños materiales. Voluntarios de diversas organizaciones se han sumado a las tareas de auxilio.",Incendio en fábrica,-40.798214,-71.7091,24/08/2021
Equipos de emergencia atienden Descarrilamiento de vagones en Lobos,"Un grave descarrilamiento de vagones se registró en Lobos, Buenos Aires. El incidente provocando pánico entre los residentes locales. Las autoridades locales han desplegado equipos de emergencia para atender a los afectados.",Descarrilamiento de vagones,-35.147847,-59.063255,31/08/2000
Caída de aeronave impacta en Río Cuarto,"Autoridades confirmaron un caída de aeronave en Río Cuarto, Córdoba. El incidente interrumpiendo servicios básicos en toda la zona. Se ha convocado al comité de crisis para coordinar las acciones de respuesta.",Caída de aeronave,-33.140296,-64.300005,03/04/2007
"Autoridades responden a Explosión seguida de incendio en Tunuyán, Mendoza","Grave explosión seguida de incendio ocurrió en las inmediaciones de Tunuyán, Mendoza. El incidente afectando gravemente la infraestructura local. Las fuerzas de seguridad mantienen un perímetro para evitar incidentes adicionales.",Explosión seguida de incendio,-33.621428,-68.989391,07/11/2006
Serio incidente: Incidente en fábrica en Villa Regina,"Grave incidente en fábrica ocurrió en las inmediaciones de Villa Regina, Río Negro. El incidente con un saldo inicial de varias personas heridas. Voluntarios de diversas organizaciones se han sumado a las tareas de auxilio.",Incidente en fábrica,-39.12108,-67.06741,27/12/2005
